#{"t_start": 1774834045.8859305, "env_id": "None"}
r,l,t
1.6,27,51.687556
1.6,27,51.704103
1.6,27,51.719056
9.2,103,51.829808
1.6,27,51.846749
1.6,27,51.863851
1.6,27,51.879091
12.3,134,51.999712
4.2,53,52.058788
1.6,27,52.092277
1.6,27,52.118969
1.6,27,52.143971
4.4,55,52.191464
1.6,27,52.208092
1.6,27,52.224765
4.1,52,52.257303
7.7,88,52.310005
14.0,151,52.417648
1.6,27,52.459899
3.8,49,52.501127
12.3,134,52.597239
6.4,75,52.64334
8.8,99,52.704152
1.6,27,52.72194
4.8,59,52.760412
1.6,27,52.778247
1.6,27,52.795328
1.6,27,52.813509
1.6,27,52.829989
1.6,27,52.846518
1.6,27,52.861529
1.6,27,52.879695
4.7,58,52.914718
1.6,27,52.929935
3.7,48,52.959433
1.6,27,52.977692
1.6,27,52.996491
1.6,27,53.012787
1.6,27,53.02789
19.3,189,53.184623
4.4,55,53.216549
1.6,27,53.233293
4.2,53,53.264898
1.6,27,53.283077
1.6,27,53.299516
9.6,107,53.381289
1.6,27,53.396363
1.6,27,53.414454
13.9,150,53.521822
1.6,27,53.549349
1.6,27,53.576263
12.0,131,53.672404
8.9,100,53.735033
4.4,55,53.771024
1.6,27,53.786328
1.6,27,53.806636
10.2,113,53.915524
1.6,27,53.932018
1.6,27,53.950405
6.6,77,53.999999
1.6,27,54.016776
1.6,27,54.033075
10.6,117,54.106036
1.6,27,54.124183
1.6,27,54.139422
1.6,27,54.155954
1.6,27,54.175128
1.6,27,54.195179
1.6,27,54.210316
1.6,27,54.226989
1.6,27,54.254184
1.6,27,54.282886
1.6,27,54.304561
7.8,89,54.375107
1.6,27,54.390898
1.6,27,54.408826
1.6,27,54.425552
1.6,27,54.445232
13.6,147,54.539284
1.6,27,54.558515
12.3,134,54.642002
3.7,48,54.670945
1.6,27,54.68715
1.6,27,54.704885
3.8,49,54.735429
3.9,50,54.768572
10.3,114,54.834974
6.7,78,54.883915
4.3,54,54.917806
1.6,27,54.935437
1.6,27,54.951632
1.6,27,54.969817
4.3,54,55.001024
1.6,27,55.018362
10.8,119,55.090598
12.3,134,55.173094
5.0,61,55.209911
12.3,134,55.291946
4.8,59,55.326969
4.1,52,55.361222
11.9,130,55.436636
1.6,27,55.453147
4.7,58,55.487766
1.6,27,55.51293
7.9,90,55.566547
1.6,27,55.581583
1.6,27,55.598075
7.5,86,55.652941
7.4,85,55.703386
1.6,27,55.719635
1.6,27,55.736373
1.6,27,55.754295
1.6,27,55.773715
1.6,27,55.790327
1.6,27,55.805593
1.6,27,55.82348
1.6,27,55.839925
5.1,62,55.875726
1.6,27,55.89403
3.8,49,55.956696
1.6,27,55.981923
11.3,124,56.057019
1.6,27,56.075375
4.2,53,56.118958
1.6,27,56.138056
6.1,72,56.180946
1.6,27,56.197502
4.6,57,56.23236
1.6,27,56.248829
1.6,27,56.263764
1.6,27,56.280984
12.1,132,56.396021
1.6,27,56.413753
1.6,27,56.430164
8.8,99,56.489693
1.6,27,56.507549
1.6,27,56.52998
6.1,72,56.57392
6.6,77,56.621471
1.6,27,56.639527
4.3,54,56.671082
1.6,27,56.687566
1.6,27,56.703896
1.6,27,56.72177
12.3,134,56.803613
7.8,89,56.85973
1.6,27,56.881295
1.6,27,56.899345
5.6,67,56.942839
1.6,27,56.958539
1.6,27,56.977261
1.6,27,56.99526
3.7,48,57.023642
1.6,27,57.040069
4.3,54,57.073056
6.9,80,57.133739
6.1,72,57.177401
1.6,27,57.194082
8.1,92,57.257605
1.6,27,57.275944
4.8,59,57.309671
4.7,58,57.359153
1.6,27,57.375641
11.0,121,57.470326
7.8,89,57.524173
6.9,80,57.585108
1.6,27,57.602976
6.8,79,57.654381
4.7,58,57.688221
9.2,103,57.750374
6.7,78,57.806503
1.6,27,57.825973
13.1,142,57.911984
1.6,27,57.92698
3.6,47,57.956343
1.6,27,57.977015
1.6,27,58.018053
4.9,60,58.068497
1.6,27,58.087041
7.0,81,58.138381
